-2,-2,0.00050386
-2,-1.7,0.0021547
-2,-1.4,0.0069556
-2,-1.1,0.016948
-2,-0.8,0.031173
-2,-0.5,0.043279
-2,-0.2,0.045356
-2,0.1,0.03588
-2,0.4,0.021425
-2,0.7,0.0096569
-2,1,0.0032856
-2,1.3,0.00084383
-2,1.6,0.00016359
-2,1.9,2.3942e-05
-2,2.2,2.6456e-06
-2,2.5,2.2081e-07
-1.7,-2,0.0018638
-1.7,-1.7,0.0079704
-1.7,-1.4,0.025729
-1.7,-1.1,0.062692
-1.7,-0.8,0.11531
-1.7,-0.5,0.16009
-1.7,-0.2,0.16777
-1.7,0.1,0.13272
-1.7,0.4,0.07925
-1.7,0.7,0.035721
-1.7,1,0.012154
-1.7,1.3,0.0031217
-1.7,1.6,0.00060534
-1.7,1.9,8.8651e-05
-1.7,2.2,9.8138e-06
-1.7,2.5,8.233e-07
-1.4,-2,0.0049848
-1.4,-1.7,0.021317
-1.4,-1.4,0.068813
-1.4,-1.1,0.16767
-1.4,-0.8,0.3084
-1.4,-0.5,0.42817
-1.4,-0.2,0.44872
-1.4,0.1,0.35497
-1.4,0.4,0.21197
-1.4,0.7,0.095549
-1.4,1,0.032516
-1.4,1.3,0.0083559
-1.4,1.6,0.0016227
-1.4,1.9,0.0002386
-1.4,2.2,2.6711e-05
-1.4,2.5,2.3103e-06
-1.1,-2,0.0093856
-1.1,-1.7,0.040137
-1.1,-1.4,0.12956
-1.1,-1.1,0.3157
-1.1,-0.8,0.58067
-1.1,-0.5,0.80618
-1.1,-0.2,0.84489
-1.1,0.1,0.66841
-1.1,0.4,0.3992
-1.1,0.7,0.18002
-1.1,1,0.061338
-1.1,1.3,0.015816
-1.1,1.6,0.0031006
-1.1,1.9,0.00046787
-1.1,2.2,5.6064e-05
-1.1,2.5,5.6996e-06
-0.8,-2,0.011686
-0.8,-1.7,0.049975
-0.8,-1.4,0.16132
-0.8,-1.1,0.39309
-0.8,-0.8,0.72301
-0.8,-0.5,1.0039
-0.8,-0.2,1.0522
-0.8,0.1,0.83278
-0.8,0.4,0.49795
-0.8,0.7,0.22529
-0.8,1,0.07746
-0.8,1.3,0.020476
-0.8,1.6,0.0042861
-0.8,1.9,0.00075718
-0.8,2.2,0.0001239
-0.8,2.5,1.9746e-05
-0.5,-2,0.0077212
-0.5,-1.7,0.03302
-0.5,-1.4,0.10659
-0.5,-1.1,0.25975
-0.5,-0.8,0.47786
-0.5,-0.5,0.66386
-0.5,-0.2,0.69695
-0.5,0.1,0.55406
-0.5,0.4,0.33542
-0.5,0.7,0.15697
-0.5,1,0.058927
-0.5,1.3,0.019109
-0.5,1.6,0.0058661
-0.5,1.9,0.0017455
-0.5,2.2,0.00046762
-0.5,2.5,0.00010325
-0.2,-2,-0.0016954
-0.2,-1.7,-0.0072485
-0.2,-1.4,-0.023383
-0.2,-1.1,-0.056871
-0.2,-0.8,-0.10406
-0.2,-0.5,-0.14236
-0.2,-0.2,-0.14298
-0.2,0.1,-0.099317
-0.2,0.4,-0.036219
-0.2,0.7,0.012859
-0.2,1,0.032223
-0.2,1.3,0.028333
-0.2,1.6,0.016398
-0.2,1.9,0.0068751
-0.2,2.2,0.0021458
-0.2,2.5,0.00050312
0.1,-2,-0.0098438
0.1,-1.7,-0.04209
0.1,-1.4,-0.13581
0.1,-1.1,-0.33054
0.1,-0.8,-0.60595
0.1,-0.5,-0.83345
0.1,-0.2,-0.85047
0.1,0.1,-0.62178
0.1,0.4,-0.28589
0.1,0.7,-0.020908
0.1,1,0.095894
0.1,1.3,0.098821
0.1,1.6,0.059496
0.1,1.9,0.025261
0.1,2.2,0.0079187
0.1,2.5,0.0018595
0.4,-2,-0.011453
0.4,-1.7,-0.048961
0.4,-1.4,-0.1579
0.4,-1.1,-0.3837
0.4,-0.8,-0.70036
0.4,-0.5,-0.95143
0.4,-0.2,-0.93562
0.4,0.1,-0.60375
0.4,0.4,-0.13212
0.4,0.7,0.22917
0.4,1,0.35347
0.4,1.3,0.28921
0.4,1.6,0.16395
